open_dt,close_dt,signal,adn_mi_psy,type,direction,entry,sl_str,tp_str,lots_str,balance_open,profit,raison_sl,raison_tp,atr_m15,atr_h1,atr_h4,adx_h4,ema200_d1_pct,spread_pts,score_buy,score_sell,context_score,risk_mul,risk_used_pct,psy_peur,psy_cupidite,psy_epuise_vend,psy_epuise_ach,adn_force_explo,mi_cible_inst,dg_buy_susp,dg_sell_ovr,adn,miroir,psy,signal_class,sl,tp,lots,sl_dist,tp_dist,rr_target,sl_dist_pct,tp_dist_pct,raison_sl_explosion,raison_sl_compression,raison_sl_tendance,raison_sl_pullback,raison_sl_inst,open_ts,hour,dow,month,session,win,profit_pct
2022.12.13 14:00,2022.12.22 06:53,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|OK|RETOUR_BAISSIER,TENDANCE_H4,BUY,1811.21,SL=1803.12,TP=1831.44,Lots=0.01,920.09,-5.36,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,3.84943,4.49493,8.65936,25.93,3.1986,200,1,0,1.066,1.066,0.213,21.3129,78.6871,64.6062,35.3938,46.0965,0.0,0,0,ADN_EXPLOSION,OK,RETOUR_BAISSIER,TENDANCE,1803.12,1831.44,0.01,8.090000000000146,20.230000000000018,2.500618046971527,0.4466627282314113,1.1169328791250057,1,0,0,0,0,2022-12-13 14:00:00,14,1,12,NY,0,-0.5825517068982382
2022.12.20 03:15,2022.12.27 17:55,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,BUY,1794.4,SL=1787.88,TP=1810.70,Lots=0.01,911.39,-8.47,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.99629,3.62179,6.88571,18.97,2.118,200,1,0,1.066,1.066,0.213,40.0533,59.9467,72.2051,27.7949,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1787.88,1810.7,0.01,6.519999999999982,16.299999999999955,2.5,0.3633526526972794,0.9083816317431985,0,0,1,0,0,2022-12-20 03:15:00,3,1,12,ASIA,0,-0.9293496746727528
2022.12.20 12:15,2022.12.28 08:59,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|MANIPULATION_HAUSSIER|NEUTRE,TENDANCE_H4,BUY,1807.32,SL=1799.20,TP=1827.64,Lots=0.01,904.88,-9.94,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.91986,4.51464,6.75386,25.64,2.8458,200,1,0,1.2184,1.05,0.21,28.1116,71.8884,48.0944,51.9056,48.0163,1798.74,0,0,ADN_EXPLOSION,MANIPULATION_HAUSSIER,NEUTRE,TENDANCE,1799.2,1827.64,0.01,8.11999999999989,20.320000000000164,2.502463054187246,0.4492840227519139,1.1243166677732868,1,0,0,0,0,2022-12-20 12:15:00,12,1,12,LONDON,0,-1.0984881973300327
2022.12.22 04:15,2022.12.29 10:31,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|RETOUR_BAISSIER,TENDANCE_H4,BUY,1819.56,SL=1814.21,TP=1832.92,Lots=0.01,896.73,-0.01,SL_RETOURNEMENT_PSY_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.31171,2.96943,7.72479,28.1,3.4663,200,1,0,0.943,0.943,0.189,37.559,62.441,61.0723,38.9277,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,RETOUR_BAISSIER,TENDANCE,1814.21,1832.92,0.01,5.349999999999909,13.360000000000127,2.4971962616823093,0.29402712743739745,0.7342434434698569,0,0,0,0,0,2022-12-22 04:15:00,4,3,12,ASIA,0,-0.001115162869537096
2022.12.27 16:31,2022.12.30 20:00,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|OK|RETOUR_BAISSIER,TENDANCE_H4,BUY,1821.17,SL=1812.73,TP=1848.62,Lots=0.01,891.37,2.88,SL_EXPLOSION_ADN_1.68xATR,TP_EXPLOSION_FORCE_RR1.8-3.3,4.66464,5.01821,8.22786,40.48,3.4892,200,1,0,1.066,1.066,0.213,29.1577,70.8423,28.8431,71.1569,85.5331,0.0,0,0,ADN_EXPLOSION,OK,RETOUR_BAISSIER,TENDANCE,1812.73,1848.62,0.01,8.440000000000055,27.449999999999818,3.252369668246403,0.46343833908970905,1.507272797157861,1,0,0,0,0,2022-12-27 16:31:00,16,1,12,NY,1,0.3230981522824416
2022.12.27 17:55,2023.01.03 07:40,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|OK|NEUTRE,TENDANCE_H4,BUY,1812.91,SL=1802.99,TP=1837.71,Lots=0.01,882.9,20.97,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,4.83286,5.51164,8.66064,40.48,3.0245,200,1,0,1.5233,1.05,0.21,42.9585,57.0415,33.2566,66.7434,73.7662,0.0,0,0,ADN_EXPLOSION,OK,NEUTRE,TENDANCE,1802.99,1837.71,0.01,9.920000000000073,24.799999999999955,2.499999999999977,0.5471865674523321,1.3679664186308176,1,0,0,0,0,2022-12-27 17:55:00,17,1,12,NY,1,2.3751274209989806
2022.12.28 17:45,2023.01.03 11:43,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_BAISSIER|NEUTRE,TENDANCE_H4,BUY,1805.35,SL=1797.50,TP=1824.96,Lots=0.01,872.39,-9.7,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.86857,4.35829,8.91043,30.66,2.5684,200,2,0,1.2761,1.05,0.21,51.6583,48.3417,26.2264,73.7736,0.0,1806.67,0,0,ADN_DECLENCHEUR,MANIPULATION_BAISSIER,NEUTRE,TENDANCE,1797.5,1824.96,0.01,7.849999999999909,19.610000000000127,2.4980891719745673,0.43481873320962194,1.086215969202655,0,0,0,0,0,2022-12-28 17:45:00,17,2,12,NY,0,-1.1118880317289284
2022.12.29 19:15,2023.01.05 13:16,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|OK|NEUTRE,TENDANCE_H4,BUY,1818.8,SL=1811.08,TP=1838.08,Lots=0.01,870.67,-11.73,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.86171,4.28507,9.74043,32.09,3.298,200,1,0,0.943,0.943,0.189,34.6056,65.3944,33.4264,66.5736,69.4628,0.0,0,0,ADN_EXPLOSION,OK,NEUTRE,TENDANCE,1811.08,1838.08,0.01,7.720000000000027,19.279999999999973,2.497409326424858,0.42445568506707876,1.0600395865405747,1,0,0,0,0,2022-12-29 19:15:00,19,3,12,NY,0,-1.347238333697038
2023.01.03 02:00,2023.01.06 14:44,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|OK|NEUTRE,TENDANCE_H4,BUY,1828.71,SL=1820.32,TP=1849.68,Lots=0.01,872.98,2.92,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.7675,4.65993,7.03621,53.73,3.7475,200,1,0,1.0116,1.0116,0.202,36.1712,63.8288,45.1599,54.8401,48.4935,0.0,0,0,ADN_EXPLOSION,OK,NEUTRE,TENDANCE,1820.32,1849.68,0.01,8.3900000000001,20.970000000000027,2.4994040524433583,0.45879335706591534,1.1467099758846415,1,0,0,0,0,2023-01-03 02:00:00,2,1,1,ASIA,1,0.334486471625925
2023.01.03 08:30,2023.01.06 20:00,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|MANIPULATION_HAUSSIER|RETOUR_BAISSIER,TENDANCE_H4,BUY,1840.78,SL=1831.11,TP=1864.95,Lots=0.01,893.95,5.23,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.85836,5.37186,8.63729,61.29,4.4251,200,1,0,1.1449,1.05,0.21,34.839,65.161,31.2175,68.7825,71.0041,1833.48,0,0,ADN_EXPLOSION,MANIPULATION_HAUSSIER,RETOUR_BAISSIER,TENDANCE,1831.11,1864.95,0.01,9.670000000000073,24.170000000000073,2.4994829369182927,0.525320787926861,1.3130303458316623,1,0,0,0,0,2023-01-03 08:30:00,8,1,1,LONDON,1,0.5850439062587394
2023.01.04 20:30,2023.01.11 02:00,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_BAISSIER|NEUTRE,TENDANCE_H4,BUY,1854.14,SL=1842.41,TP=1883.44,Lots=0.01,884.25,-1.62,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.70471,6.5125,11.21171,55.82,5.1312,200,1,0,0.893,0.893,0.179,44.2691,55.7309,65.6863,34.3137,0.0,1861.96,0,0,ADN_DECLENCHEUR,MANIPULATION_BAISSIER,NEUTRE,TENDANCE,1842.41,1883.44,0.01,11.730000000000018,29.299999999999955,2.4978687127024646,0.6326383121015683,1.5802474462554044,0,0,0,0,0,2023-01-04 20:30:00,20,2,1,NY,0,-0.18320610687022904
2023.01.06 02:15,2023.01.11 12:15,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_HAUSSIER|NEUTRE,TENDANCE_H4,BUY,1838.89,SL=1829.45,TP=1862.49,Lots=0.01,870.81,-6.8,SL_APRES_MANIPULATION_1.80xATR,TP_CIBLE_INSTIT_RR2.5,1.45671,5.24407,9.74943,32.4,4.182,200,1,0,0.875,0.875,0.175,52.5865,47.4135,70.0696,29.9304,0.0,1824.3,0,0,ADN_DECLENCHEUR,MANIPULATION_HAUSSIER,NEUTRE,TENDANCE,1829.45,1862.49,0.01,9.440000000000055,23.59999999999991,2.499999999999976,0.5133531641370639,1.2833829103426473,0,0,0,0,0,2023-01-06 02:15:00,2,4,1,ASIA,0,-0.7808821671776852
2023.01.06 17:00,2023.01.12 13:30,BUY TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_HAUSSIER|NEUTRE,TENDANCE_H4,BUY,1863.58,SL=1852.73,TP=1890.72,Lots=0.01,873.73,6.1,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,4.86986,6.0305,10.50557,25.38,5.566,200,1,0,1.3175,1.05,0.21,29.6488,70.3512,65.6734,34.3266,0.0,1851.06,0,0,ADN_DECLENCHEUR,MANIPULATION_HAUSSIER,NEUTRE,TENDANCE,1852.73,1890.72,0.01,10.849999999999909,27.1400000000001,2.501382488479293,0.5822127303362297,1.4563367282327617,0,0,0,0,0,2023-01-06 17:00:00,17,4,1,NY,1,0.6981561809712382
2023.01.09 02:00,2023.01.12 14:14,BUY TENDANCE [Cerveau v5],ADN_EXPLOSION|MANIPULATION_HAUSSIER|NEUTRE,TENDANCE_H4,BUY,1874.57,SL=1862.98,TP=1903.56,Lots=0.01,878.96,-8.31,SL_EXPLOSION_ADN_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.02271,6.44236,9.6685,32.25,6.0601,200,1,0,1.1293,1.05,0.21,26.9706,73.0294,50.6707,49.3293,57.2335,1857.9,0,0,ADN_EXPLOSION,MANIPULATION_HAUSSIER,NEUTRE,TENDANCE,1862.98,1903.56,0.01,11.589999999999918,28.99000000000001,2.501294219154462,0.6182751244285313,1.546487994580091,1,0,0,0,0,2023-01-09 02:00:00,2,0,1,ASIA,0,-0.9454355146991898
